product_id,sku,product_name,category,sub_category,brand,supplier,unit_cost,list_price,launch_date,status
10001,SKU-IN-10001,ASIAN PAINTS Mens Ethnic Model 858,APPAREL,MENS ETHNIC,ASIAN PAINTS,FLIPKART WHOLESALE,217.41,455.9,2023-10-17,DISCONTINUED
10002,SKU-IN-10002,BOAT Laptops Model 303,ELECTRONICS,LAPTOPS,BOAT,UDAAN DISTRIBUTORS,224.5,436.05,2023-02-23,ACTIVE
10003,SKU-IN-10003,ASIAN PAINTS Ages 9+ Model 448,TOYS,AGES 9+,ASIAN PAINTS,TATA DIGITAL,619.11,887.56,2022-05-15,ACTIVE
10004,SKU-IN-10004,MAMAEARTH Atta & Dal Model 718,GROCERIES,ATTA & DAL,MAMAEARTH,TATA DIGITAL,334.95,556.96,2021-12-05,ACTIVE
10005,SKU-IN-10005,MAMAEARTH Ages 9+ Model 733,TOYS,AGES 9+,MAMAEARTH,DMART WHOLESALE,1367.36,2170.21,2023-07-11,ACTIVE
10006,SKU-IN-10006,PARLE Mens Ethnic Model 203,APPAREL,MENS ETHNIC,PARLE,UDAAN DISTRIBUTORS,7893.59,17631.24,2024-11-09,ACTIVE
10007,SKU-IN-10007,SAMSUNG Ages 9+ Model 818,TOYS,AGES 9+,SAMSUNG,FLIPKART WHOLESALE,327.64,488.49,2021-06-30,ACTIVE
10008,SKU-IN-10008,PUMA Snacks Model 670,GROCERIES,SNACKS,PUMA,BIG BASKET SUPPLY,2743.62,6349.29,2023-11-10,ACTIVE
10009,SKU-IN-10009,RELIANCE Mobiles Model 997,ELECTRONICS,MOBILES,RELIANCE,DMART WHOLESALE,3688.39,4891.24,2023-03-07,ACTIVE
10010,SKU-IN-10010,PUMA Ages 4-8 Model 651,TOYS,AGES 4-8,PUMA,TATA DIGITAL,248.66,381.35,2023-02-23,DISCONTINUED
10011,SKU-IN-10011,PARLE Education Model 981,BOOKS,EDUCATION,PARLE,FLIPKART WHOLESALE,432.14,585.35,2020-04-06,ACTIVE
10012,SKU-IN-10012,BOAT Decor Model 357,HOME & KITCHEN,DECOR,BOAT,RELIANCE RETAIL,3547.66,8498.56,2022-12-19,ACTIVE
10013,SKU-IN-10013,MAMAEARTH Cricket Model 996,SPORTS,CRICKET,MAMAEARTH,TATA DIGITAL,3930.31,6963.65,2024-01-18,ACTIVE
10014,SKU-IN-10014,BAJAJ Footwear Model 880,APPAREL,FOOTWEAR,BAJAJ,METRO CASH & CARRY,44551.73,65880.77,2022-02-04,ACTIVE
10015,SKU-IN-10015,TATA Ayurveda Model 926,BEAUTY,AYURVEDA,TATA,TATA DIGITAL,746.82,1688.21,2024-08-30,ACTIVE
10016,SKU-IN-10016,BOAT Mobiles Model 645,ELECTRONICS,MOBILES,BOAT,METRO CASH & CARRY,598.93,1310.71,2024-04-06,ACTIVE
10017,SKU-IN-10017,BIBA Ages 9+ Model 652,TOYS,AGES 9+,BIBA,BIG BASKET SUPPLY,4599.25,8957.42,2021-03-09,ACTIVE
10018,SKU-IN-10018,PUMA Education Model 446,BOOKS,EDUCATION,PUMA,RELIANCE RETAIL,40507.0,62181.95,2020-05-11,ACTIVE
10019,SKU-IN-10019,BOAT Beverages Model 980,GROCERIES,BEVERAGES,BOAT,DMART WHOLESALE,53439.41,80868.95,2020-03-05,ACTIVE
10020,SKU-IN-10020,HP Atta & Dal Model 684,GROCERIES,ATTA & DAL,HP,AMAZON BUSINESS INDIA,454.43,946.06,2024-12-12,ACTIVE
10021,SKU-IN-10021,HALDIRAM Ages 4-8 Model 520,TOYS,AGES 4-8,HALDIRAM,AMAZON BUSINESS INDIA,122.7,214.2,2022-05-17,ACTIVE
10022,SKU-IN-10022,XIAOMI Mens Ethnic Model 296,APPAREL,MENS ETHNIC,XIAOMI,BIG BASKET SUPPLY,32429.79,72672.68,2021-05-24,DISCONTINUED
10023,SKU-IN-10023,BIBA Decor Model 553,HOME & KITCHEN,DECOR,BIBA,FLIPKART WHOLESALE,4130.92,9317.95,2020-06-03,ACTIVE
10024,SKU-IN-10024,PARLE Laptops Model 510,ELECTRONICS,LAPTOPS,PARLE,RELIANCE RETAIL,354.81,639.92,2024-11-05,ACTIVE
10025,SKU-IN-10025,XIAOMI Fiction Model 533,BOOKS,FICTION,XIAOMI,AMAZON BUSINESS INDIA,7470.93,16084.16,2021-08-07,ACTIVE
10026,SKU-IN-10026,HALDIRAM Atta & Dal Model 421,GROCERIES,ATTA & DAL,HALDIRAM,RELIANCE RETAIL,484.39,907.52,2024-03-11,ACTIVE
10027,SKU-IN-10027,DELL Ages 9+ Model 290,TOYS,AGES 9+,DELL,FLIPKART WHOLESALE,92.66,169.94,2024-10-09,ACTIVE
10028,SKU-IN-10028,MAMAEARTH Dairy Model 183,GROCERIES,DAIRY,MAMAEARTH,UDAAN DISTRIBUTORS,25727.51,49749.21,2023-06-22,ACTIVE
10029,SKU-IN-10029,GODREJ Outdoor Model 407,SPORTS,OUTDOOR,GODREJ,AMAZON BUSINESS INDIA,249.21,349.02,2023-08-14,ACTIVE
10030,SKU-IN-10030,PUMA Mens Ethnic Model 650,APPAREL,MENS ETHNIC,PUMA,BIG BASKET SUPPLY,79888.72,191374.3,2020-05-30,ACTIVE
10031,SKU-IN-10031,BOAT Cookware Model 656,HOME & KITCHEN,COOKWARE,BOAT,TATA DIGITAL,327.15,468.29,2024-09-03,ACTIVE
