invoice_id,invoice_number,customer_id,invoice_date,due_date,subtotal_amount,discount_code,discount_amount,tax_amount,total_amount,payment_status,payment_method,payment_date,currency,region,store_id,channel,created_by
INV-1000000,NUM-2000000,2584,2024-03-26,2024-05-25,23229.55,,0.0,4181.32,27410.87,PAID,CREDIT_CARD,2024-03-29,INR,INDIA NORTH,5175,PHONE,etl_user
INV-1000001,NUM-2000001,2434,2025-05-08,2025-06-07,199234.33,,0.0,35862.18,235096.51,PAID,CREDIT_CARD,2025-06-06,INR,INDIA SOUTH,5091,PHONE,etl_user
INV-1000002,NUM-2000002,2761,2026-03-27,2026-04-26,208937.43,,0.0,37608.74,246546.17,PAID,RTGS,2026-05-11,INR,INDIA NORTH,5154,B2B,etl_user
INV-1000003,NUM-2000003,2886,2025-10-16,2025-11-30,46039.8,,0.0,8287.16,54326.96,CANCELLED,CASH,,INR,INDIA NORTH EAST,5034,B2B,etl_user
INV-1000004,NUM-2000004,2583,2024-11-16,2024-12-31,44968.55,FREEDOM642,10640.1,6179.12,40507.57,PAID,CREDIT_CARD,2024-12-29,INR,INDIA SOUTH,5015,IN_STORE,etl_user
INV-1000005,NUM-2000005,2918,2025-08-20,2025-09-19,113289.58,,0.0,20392.12,133681.7,PAID,NEFT,2025-09-20,INR,INDIA SOUTH,5185,IN_STORE,etl_user
INV-1000006,NUM-2000006,1949,2024-03-15,2024-04-29,207164.76,,0.0,37289.66,244454.42,PAID,CHEQUE,2024-03-22,INR,INDIA NORTH,5200,PHONE,etl_user
INV-1000007,NUM-2000007,2616,2024-02-12,2024-03-28,66343.84,,0.0,11941.89,78285.73,OVERDUE,NEFT,,INR,INDIA NORTH,5048,ONLINE,etl_user
INV-1000008,NUM-2000008,2141,2025-09-22,2025-11-21,149013.64,FLASH949,17730.87,23630.9,154913.67,PAID,UPI,2025-10-19,INR,INDIA EXPORTS,5103,IN_STORE,etl_user
INV-1000009,NUM-2000009,2547,2025-03-05,2025-04-19,196934.17,,0.0,35448.15,232382.32,PAID,RTGS,2025-03-25,INR,INDIA NORTH,5148,PHONE,etl_user
INV-1000010,NUM-2000010,1919,2024-08-09,2024-08-24,243744.57,,0.0,43874.02,287618.59,PAID,RTGS,2024-08-29,INR,INDIA WEST,5121,ONLINE,etl_user
INV-1000011,NUM-2000011,1366,2025-10-09,2025-11-08,136352.52,WEEKEND475,26770.26,19724.81,129307.07,PAID,NEFT,2025-11-01,INR,INDIA NORTH,5032,IN_STORE,etl_user
INV-1000012,NUM-2000012,1108,2026-01-13,2026-02-27,159842.71,REPUBLIC900,33878.31,22673.59,148637.99,OVERDUE,DEMAND_DRAFT,,INR,INDIA SOUTH,5169,ONLINE,etl_user
INV-1000013,NUM-2000013,1095,2026-03-28,2026-05-12,56961.89,,0.0,10253.14,67215.03,PAID,NEFT,2026-04-02,INR,INDIA NORTH,5117,B2B,etl_user
INV-1000014,NUM-2000014,1440,2024-01-27,2024-02-26,751.51,,0.0,135.27,886.78,PAID,CHEQUE,2024-02-27,INR,INDIA NORTH,5158,B2B,etl_user
