store_id,store_code,store_name,store_type,address,city,state,region_id,manager_name,opening_date,square_feet,status
5001,ST-5001,Bhubaneswar Outlet Store,OUTLET,"669, Sector 17",BHUBANESWAR,ODISHA,3,Manager 5382,2020-07-23,13758,ACTIVE
5002,ST-5002,Ahmedabad Popup Store,POPUP,"989, Marine Drive",AHMEDABAD,GUJARAT,4,Manager 7782,2022-01-27,6282,ACTIVE
5003,ST-5003,New Delhi Standard Store,OUTLET,"964, Nehru Marg",NEW DELHI,DELHI,1,Manager 4450,2019-05-28,6269,RENOVATION
5004,ST-5004,Chandigarh Flagship Store,EXPRESS,"562, MG Road",CHANDIGARH,CHANDIGARH,1,Manager 1431,2019-01-27,13809,CLOSED
5005,ST-5005,Jaipur Outlet Store,POPUP,"160, Nehru Marg",JAIPUR,RAJASTHAN,1,Manager 7387,2019-03-02,10937,ACTIVE
5006,ST-5006,Thiruvananthapuram Express Store,STANDARD,"135, Anna Salai",THIRUVANANTHAPURAM,KERALA,2,Manager 3795,2021-03-09,1736,ACTIVE
5007,ST-5007,Aizawl Outlet Store,EXPRESS,"479, Anna Salai",AIZAWL,MIZORAM,6,Manager 5463,2022-01-01,15376,ACTIVE
5008,ST-5008,Mumbai Port Standard Store,POPUP,"612, Marine Drive",MUMBAI PORT,MAHARASHTRA,7,Manager 8126,2024-01-18,17952,CLOSED
5009,ST-5009,Vijayawada Express Store,POPUP,"233, Nehru Marg",VIJAYAWADA,ANDHRA PRADESH,2,Manager 8239,2021-11-23,10888,ACTIVE
5010,ST-5010,Mumbai Standard Store,OUTLET,"11, MG Road",MUMBAI,MAHARASHTRA,4,Manager 9574,2020-11-30,5266,ACTIVE
5011,ST-5011,Visakhapatnam Popup Store,FLAGSHIP,"705, Marine Drive",VISAKHAPATNAM,ANDHRA PRADESH,2,Manager 8816,2023-04-06,10617,ACTIVE
5012,ST-5012,Pune Popup Store,STANDARD,"816, MG Road",PUNE,MAHARASHTRA,4,Manager 9981,2021-04-14,13043,ACTIVE
5013,ST-5013,Mumbai Express Store,EXPRESS,"256, Gandhi Road",MUMBAI,MAHARASHTRA,4,Manager 7385,2024-04-15,13198,ACTIVE
5014,ST-5014,Mysuru Express Store,STANDARD,"530, FC Road",MYSURU,KARNATAKA,2,Manager 5454,2018-11-21,10128,CLOSED
5015,ST-5015,Madurai Standard Store,FLAGSHIP,"187, Gandhi Road",MADURAI,TAMIL NADU,2,Manager 5744,2022-08-19,4416,RENOVATION
5016,ST-5016,Guwahati Outlet Store,POPUP,"504, Park Street",GUWAHATI,ASSAM,6,Manager 6253,2023-01-29,1435,ACTIVE
5017,ST-5017,Noida Flagship Store,STANDARD,"996, Nehru Marg",NOIDA,UTTAR PRADESH,1,Manager 5622,2024-01-01,9620,ACTIVE
5018,ST-5018,Chennai Port Flagship Store,STANDARD,"93, Gandhi Road",CHENNAI PORT,TAMIL NADU,7,Manager 1241,2022-12-01,16973,ACTIVE
5019,ST-5019,Bhubaneswar Outlet Store,EXPRESS,"381, Marine Drive",BHUBANESWAR,ODISHA,3,Manager 1519,2022-09-18,11621,ACTIVE
5020,ST-5020,Kanpur Outlet Store,EXPRESS,"74, Anna Salai",KANPUR,UTTAR PRADESH,1,Manager 8702,2018-08-18,6750,ACTIVE
5021,ST-5021,Mysuru Flagship Store,FLAGSHIP,"998, Park Street",MYSURU,KARNATAKA,2,Manager 7304,2022-04-12,15314,ACTIVE
5022,ST-5022,Gurugram Express Store,FLAGSHIP,"534, Park Street",GURUGRAM,HARYANA,1,Manager 8746,2020-03-26,13550,ACTIVE
5023,ST-5023,Kolkata Flagship Store,POPUP,"534, Nehru Marg",KOLKATA,WEST BENGAL,3,Manager 5150,2019-10-12,16568,ACTIVE
5024,ST-5024,Hyderabad Flagship Store,STANDARD,"997, Nehru Marg",HYDERABAD,TELANGANA,2,Manager 4866,2022-01-16,15026,ACTIVE
5025,ST-5025,Delhi Outlet Store,POPUP,"123, Linking Road",DELHI,DELHI,1,Manager 4982,2019-11-17,1092,ACTIVE
5026,ST-5026,Raipur Popup Store,STANDARD,"381, Nehru Marg",RAIPUR,CHHATTISGARH,5,Manager 5075,2023-05-01,5967,RENOVATION
5027,ST-5027,Jaipur Outlet Store,FLAGSHIP,"62, Brigade Road",JAIPUR,RAJASTHAN,1,Manager 3521,2024-12-08,4319,ACTIVE
5028,ST-5028,Nagpur Outlet Store,POPUP,"808, Brigade Road",NAGPUR,MAHARASHTRA,4,Manager 8187,2020-08-11,7123,ACTIVE
5029,ST-5029,Mumbai Port Outlet Store,STANDARD,"257, MG Road",MUMBAI PORT,MAHARASHTRA,7,Manager 8951,2022-03-28,15136,CLOSED
5030,ST-5030,Visakhapatnam Express Store,STANDARD,"581, Gandhi Road",VISAKHAPATNAM,ANDHRA PRADESH,2,Manager 9906,2024-02-02,12192,ACTIVE
5031,ST-5031,Kochi Port Outlet Store,POPUP,"937, Anna Salai",KOCHI PORT,KERALA,7,Manager 3627,2023-04-03,3056,CLOSED
5032,ST-5032,Kanpur Outlet Store,OUTLET,"555, Brigade Road",KANPUR,UTTAR PRADESH,1,Manager 8439,2023-01-15,823,CLOSED
5033,ST-5033,Cuttack Flagship Store,POPUP,"878, Brigade Road",CUTTACK,ODISHA,3,Manager 4912,2020-01-30,11308,ACTIVE
5034,ST-5034,Aizawl Express Store,STANDARD,"537, Marine Drive",AIZAWL,MIZORAM,6,Manager 3525,2024-01-17,10077,ACTIVE
5035,ST-5035,Mumbai Flagship Store,FLAGSHIP,"536, Nehru Marg",MUMBAI,MAHARASHTRA,4,Manager 1717,2021-08-12,5052,ACTIVE
