store_id,store_code,store_name,store_type,address,city,state,region_id,manager_name,opening_date,square_feet,status
5001,ST-5001,Berlin Popup Store,STANDARD,6914 Park St,BERLIN,BE,5,Manager 9798,2018-10-07,14719,ACTIVE
5002,ST-5002,Boston Standard Store,OUTLET,5524 Oak St,BOSTON,MA,1,Manager 5809,2020-06-25,8658,CLOSED
5003,ST-5003,Berlin Popup Store,FLAGSHIP,1979 Oak St,BERLIN,BE,5,Manager 8301,2023-04-30,9375,CLOSED
5004,ST-5004,Mumbai Flagship Store,OUTLET,6348 Main St,MUMBAI,MH,6,Manager 7322,2020-09-25,9907,CLOSED
5005,ST-5005,Chennai Flagship Store,POPUP,6243 Park St,CHENNAI,TN,6,Manager 9335,2021-03-04,16100,RENOVATION
5006,ST-5006,Los Angeles Standard Store,OUTLET,8519 Main St,LOS ANGELES,CA,2,Manager 2572,2021-04-29,6985,CLOSED
5007,ST-5007,Munich Flagship Store,STANDARD,3592 Maple St,MUNICH,BY,5,Manager 2702,2018-01-31,8236,CLOSED
5008,ST-5008,Delhi Flagship Store,STANDARD,489 Maple St,DELHI,DL,6,Manager 6434,2022-11-18,2741,ACTIVE
5009,ST-5009,Chicago Standard Store,OUTLET,9243 Main St,CHICAGO,IL,3,Manager 4729,2018-08-11,9975,RENOVATION
5010,ST-5010,Denver Express Store,EXPRESS,5283 Main St,DENVER,CO,3,Manager 7381,2023-01-22,23562,ACTIVE
5011,ST-5011,Munich Popup Store,FLAGSHIP,9694 Main St,MUNICH,BY,5,Manager 2189,2018-01-25,13221,CLOSED
5012,ST-5012,Houston Outlet Store,POPUP,1517 Oak St,HOUSTON,TX,3,Manager 8170,2021-04-02,13998,RENOVATION
5013,ST-5013,Hyderabad Express Store,STANDARD,8840 Elm St,HYDERABAD,TS,6,Manager 3234,2018-05-07,14312,CLOSED
5014,ST-5014,San Jose Outlet Store,OUTLET,282 Park St,SAN JOSE,CA,2,Manager 3316,2019-08-14,5538,ACTIVE
5015,ST-5015,New York Popup Store,EXPRESS,8900 Park St,NEW YORK,NY,1,Manager 2394,2024-06-03,11484,ACTIVE
5016,ST-5016,Chennai Standard Store,EXPRESS,8497 Elm St,CHENNAI,TN,6,Manager 3637,2021-11-09,7529,ACTIVE
5017,ST-5017,Mumbai Standard Store,FLAGSHIP,3071 Park St,MUMBAI,MH,6,Manager 1891,2020-11-01,19484,RENOVATION
5018,ST-5018,Bangalore Flagship Store,OUTLET,1203 Oak St,BANGALORE,KA,6,Manager 2608,2024-03-01,7968,CLOSED
5019,ST-5019,Birmingham Outlet Store,STANDARD,3942 Main St,BIRMINGHAM,ENG,4,Manager 5671,2021-09-17,21800,ACTIVE
5020,ST-5020,San Antonio Express Store,EXPRESS,5479 Park St,SAN ANTONIO,TX,3,Manager 6008,2021-07-25,24223,CLOSED
5021,ST-5021,Phoenix Popup Store,OUTLET,5282 Maple St,PHOENIX,AZ,2,Manager 3762,2024-05-05,1658,ACTIVE
5022,ST-5022,San Diego Express Store,OUTLET,5989 Elm St,SAN DIEGO,CA,2,Manager 6432,2020-06-26,17227,RENOVATION
5023,ST-5023,Manchester Outlet Store,EXPRESS,9138 Main St,MANCHESTER,ENG,4,Manager 3879,2022-01-09,22653,CLOSED
5024,ST-5024,Chicago Standard Store,POPUP,3318 Oak St,CHICAGO,IL,3,Manager 2252,2021-02-23,3970,ACTIVE
5025,ST-5025,Berlin Popup Store,POPUP,6737 Park St,BERLIN,BE,5,Manager 4485,2018-05-08,2701,CLOSED
5026,ST-5026,Dallas Popup Store,EXPRESS,2535 Oak St,DALLAS,TX,3,Manager 7430,2024-02-05,8817,CLOSED
5027,ST-5027,Chennai Standard Store,EXPRESS,8310 Park St,CHENNAI,TN,6,Manager 2483,2021-04-06,14501,ACTIVE
5028,ST-5028,Berlin Standard Store,POPUP,2817 Park St,BERLIN,BE,5,Manager 3299,2018-02-13,16121,ACTIVE
